"game_date","Home Team","Away Team","Period","Clock","Home Team Skaters","Away Team Skaters","Home Team Goals","Away Team Goals","Team","Player","Event","X Coordinate","Y Coordinate","Detail 1","Detail 2","Detail 3","Detail 4","Player 2","X Coordinate 2","Y Coordinate 2"
"2020-03-01","Erie Otters","London Knights","1","18:51","5","5","0","0","London Knights","Connor McMichael","Dump In/Out","88","49","Retained",,,,,,
"2020-03-01","Erie Otters","London Knights","1","18:51","5","5","0","0","Erie Otters","Johnny Gruden","Zone Entry","88","49","Dumped",,,,"Jamie Drysdale",,
"2020-03-01","Erie Otters","London Knights","1","18:48","5","5","0","0","London Knights","Johnny Gruden","Puck Recovery","185","7",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","18:48","5","5","0","0","London Knights","Johnny Gruden","Incomplete Play","185","7","Direct",,,,"Connor McMichael","169","31"
"2020-03-01","Erie Otters","London Knights","1","18:45","5","5","0","0","Erie Otters","Maxim Golod","Puck Recovery","55","4",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","18:43","5","5","0","0","Erie Otters","Maxim Golod","Play","60","11","Direct",,,,"Chad Yetman","77","41"
"2020-03-01","Erie Otters","London Knights","1","18:40","5","5","0","0","Erie Otters","Chad Yetman","Incomplete Play","118","35","Direct",,,,"Kyen Sopa","131","4"
"2020-03-01","Erie Otters","London Knights","1","18:39","5","5","0","0","London Knights","Connor McMichael","Zone Entry","125","6","Played",,,,"Kirill Steklov",,
"2020-03-01","Erie Otters","London Knights","1","18:39","5","5","0","0","Erie Otters","Chad Yetman","Faceoff Win","120","20","Backhand",,,,"Jack Duff",,
"2020-03-01","Erie Otters","London Knights","1","18:38","5","5","0","0","Erie Otters","Jack Duff","Puck Recovery","91","19",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","18:37","5","5","0","0","Erie Otters","Jack Duff","Dump In/Out","104","31","Lost",,,,,,
"2020-03-01","Erie Otters","London Knights","1","18:37","5","5","0","0","London Knights","Brett Brochu","Zone Entry","104","31","Dumped",,,,"Kirill Steklov",,
"2020-03-01","Erie Otters","London Knights","1","18:34","5","5","0","0","London Knights","Brett Brochu","Puck Recovery","3","41",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","18:32","5","5","0","0","London Knights","Brett Brochu","Play","3","41","Indirect",,,,"Kirill Steklov","23","4"
"2020-03-01","Erie Otters","London Knights","1","18:31","5","5","0","0","London Knights","Kirill Steklov","Play","23","4","Indirect",,,,"Matvey Guskov","47","5"
"2020-03-01","Erie Otters","London Knights","1","18:29","5","5","0","0","London Knights","Matvey Guskov","Play","47","5","Direct",,,,"Connor McMichael","60","14"
"2020-03-01","Erie Otters","London Knights","1","18:28","5","5","0","0","London Knights","Connor McMichael","Incomplete Play","60","14","Direct",,,,"Johnny Gruden","91","53"
"2020-03-01","Erie Otters","London Knights","1","18:26","5","5","0","0","Erie Otters","Jack Duff","Puck Recovery","91","6",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","18:24","5","5","0","0","London Knights","Ryan Merkley","Puck Recovery","83","67",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","18:24","5","5","0","0","London Knights","Ryan Merkley","Play","83","67","Direct",,,,"Connor McMichael","109","67"
"2020-03-01","Erie Otters","London Knights","1","18:22","5","5","0","0","Erie Otters","Connor McMichael","Zone Entry","126","68","Carried",,,,"Jamie Drysdale",,
"2020-03-01","Erie Otters","London Knights","1","18:21","5","5","0","0","London Knights","Connor McMichael","Shot","159","63","Wristshot","On Net","t","f",,,
"2020-03-01","Erie Otters","London Knights","1","18:20","5","5","0","0","London Knights","Matvey Guskov","Puck Recovery","173","51",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","18:20","5","5","0","0","London Knights","Matvey Guskov","Shot","176","46","Wristshot","Missed","f","f",,,
"2020-03-01","Erie Otters","London Knights","1","18:18","5","5","0","0","London Knights","Johnny Gruden","Puck Recovery","178","5",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","18:18","5","5","0","0","London Knights","Johnny Gruden","Play","178","5","Indirect",,,,"Connor McMichael","196","22"
"2020-03-01","Erie Otters","London Knights","1","18:15","5","5","0","0","London Knights","Connor McMichael","Incomplete Play","194","21","Direct",,,,"Matvey Guskov","175","36"
"2020-03-01","Erie Otters","London Knights","1","18:14","5","5","0","0","Erie Otters","Jack Duff","Puck Recovery","15","58",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","18:14","5","5","0","0","Erie Otters","Jack Duff","Play","15","58","Direct",,,,"Kyen Sopa","33","53"
"2020-03-01","Erie Otters","London Knights","1","18:12","5","5","0","0","Erie Otters","Kyen Sopa","Incomplete Play","37","52","Direct",,,,"Maxim Golod","49","33"
"2020-03-01","Erie Otters","London Knights","1","18:11","5","5","0","0","London Knights","Ryan Merkley","Puck Recovery","127","53",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","18:09","5","5","0","0","London Knights","Ryan Merkley","Shot","132","64","Wristshot","Blocked","t","f",,,
"2020-03-01","Erie Otters","London Knights","1","18:08","5","5","0","0","London Knights","Nathan Dunkley","Faceoff Win","169","65","Backhand",,,,"Luke Evangelista",,
"2020-03-01","Erie Otters","London Knights","1","18:07","5","5","0","0","London Knights","Luke Evangelista","Puck Recovery","156","61",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","18:07","5","5","0","0","London Knights","Luke Evangelista","Play","156","61","Indirect",,,,"Nathan Dunkley","188","76"
"2020-03-01","Erie Otters","London Knights","1","18:02","5","5","0","0","London Knights","Nathan Dunkley","Play","195","71","Indirect",,,,"Sahil Panwar","192","71"
"2020-03-01","Erie Otters","London Knights","1","18:00","5","5","0","0","London Knights","Sahil Panwar","Play","188","77","Indirect",,,,"Nathan Dunkley","193","69"
"2020-03-01","Erie Otters","London Knights","1","17:57","5","5","0","0","London Knights","Nathan Dunkley","Play","200","46","Direct",,,,"Luke Evangelista","197","39"
"2020-03-01","Erie Otters","London Knights","1","17:55","5","5","0","0","London Knights","Luke Evangelista","Play","162","18","Direct",,,,"Gerard Keane","129","65"
"2020-03-01","Erie Otters","London Knights","1","17:53","5","5","0","0","London Knights","Gerard Keane","Shot","133","72","Wristshot","Blocked","t","f",,,
"2020-03-01","Erie Otters","London Knights","1","17:51","5","5","0","0","London Knights","Sahil Panwar","Puck Recovery","195","57",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","17:50","5","5","0","0","London Knights","Sahil Panwar","Play","191","74","Indirect",,,,"Nathan Dunkley","197","43"
"2020-03-01","Erie Otters","London Knights","1","17:47","5","5","0","0","Erie Otters","Connor Lockhart","Puck Recovery","33","83",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","17:46","5","5","0","0","Erie Otters","Connor Lockhart","Incomplete Play","42","82","Direct",,,,"Austen Swankler","82","25"
"2020-03-01","Erie Otters","London Knights","1","17:43","5","5","0","0","Erie Otters","Drew Hunter","Puck Recovery","63","5",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","17:42","5","5","0","0","Erie Otters","Drew Hunter","Incomplete Play","71","5","Direct",,,,"Elias Cohen","96","10"
"2020-03-01","Erie Otters","London Knights","1","17:40","5","5","0","0","London Knights","Hunter Skinner","Puck Recovery","63","50",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","17:38","5","5","0","0","London Knights","Hunter Skinner","Incomplete Play","34","26","Indirect",,,,"Luke Evangelista","84","15"
"2020-03-01","Erie Otters","London Knights","1","17:36","5","5","0","0","Erie Otters","Drew Hunter","Puck Recovery","94","65",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","17:35","5","5","0","0","Erie Otters","Drew Hunter","Play","95","65","Direct",,,,"Connor Lockhart","118","81"
"2020-03-01","Erie Otters","London Knights","1","17:32","5","5","0","0","Erie Otters","Connor Lockhart","Incomplete Play","101","59","Direct",,,,"Drew Hunter","77","14"
"2020-03-01","Erie Otters","London Knights","1","17:28","5","5","0","0","Erie Otters","Drew Hunter","Puck Recovery","43","25",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","17:28","5","5","0","0","Erie Otters","Drew Hunter","Play","43","25","Direct",,,,"Cameron Morton","42","66"
"2020-03-01","Erie Otters","London Knights","1","17:26","5","5","0","0","Erie Otters","Cameron Morton","Play","47","79","Direct",,,,"Connor Lockhart","66","80"
"2020-03-01","Erie Otters","London Knights","1","17:25","5","5","0","0","Erie Otters","Connor Lockhart","Play","71","80","Direct",,,,"Drew Hunter","42","47"
"2020-03-01","Erie Otters","London Knights","1","17:22","5","5","0","0","Erie Otters","Drew Hunter","Play","92","59","Direct",,,,"Austen Swankler","120","78"
"2020-03-01","Erie Otters","London Knights","1","17:21","5","5","0","0","London Knights","Austen Swankler","Zone Entry","125","77","Carried",,,,"Hunter Skinner",,
"2020-03-01","Erie Otters","London Knights","1","17:19","5","5","0","0","Erie Otters","Austen Swankler","Shot","175","74","Wristshot","On Net","f","f",,,
"2020-03-01","Erie Otters","London Knights","1","17:17","5","5","0","0","London Knights","Jason Willms","Faceoff Win","31","21","Backhand",,,,"Markus Phillips",,
"2020-03-01","Erie Otters","London Knights","1","17:16","5","5","0","0","London Knights","Markus Phillips","Puck Recovery","19","11",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","17:16","5","5","0","0","London Knights","Markus Phillips","Play","19","11","Indirect",,,,"Alec Regula","3","49"
"2020-03-01","Erie Otters","London Knights","1","17:14","5","5","0","0","London Knights","Alec Regula","Play","16","68","Direct",,,,"Liam Foudy","43","79"
"2020-03-01","Erie Otters","London Knights","1","17:12","5","5","0","0","London Knights","Liam Foudy","Incomplete Play","49","75","Indirect",,,,"Alec Regula","41","66"
"2020-03-01","Erie Otters","London Knights","1","17:11","5","5","0","0","Erie Otters","Daniel D'Amato","Takeaway","153","16",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","17:07","5","5","0","0","Erie Otters","Daniel D'Amato","Play","160","79","Indirect",,,,"Brendan Hoffmann","198","44"
"2020-03-01","Erie Otters","London Knights","1","17:03","5","5","0","0","Erie Otters","Brendan Hoffmann","Incomplete Play","190","54","Direct",,,,"Daniel D'Amato","179","54"
"2020-03-01","Erie Otters","London Knights","1","17:01","5","5","0","0","London Knights","Billy Moskal","Puck Recovery","34","34",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","16:59","5","5","0","0","London Knights","Billy Moskal","Incomplete Play","4","61","Indirect",,,,"Jason Willms","52","80"
"2020-03-01","Erie Otters","London Knights","1","16:56","5","5","0","0","Erie Otters","Kurtis Henry","Puck Recovery","125","2",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","16:56","5","5","0","0","Erie Otters","Kurtis Henry","Incomplete Play","125","2","Indirect",,,,"Daniel D'Amato","186","67"
"2020-03-01","Erie Otters","London Knights","1","16:54","5","5","0","0","London Knights","Markus Phillips","Takeaway","5","19",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","16:52","5","5","0","0","London Knights","Markus Phillips","Play","9","18","Direct",,,,"Alec Regula","3","46"
"2020-03-01","Erie Otters","London Knights","1","16:48","5","5","0","0","London Knights","Alec Regula","Play","18","53","Direct",,,,"Billy Moskal","85","4"
"2020-03-01","Erie Otters","London Knights","1","16:45","5","5","0","0","London Knights","Billy Moskal","Play","88","7","Direct",,,,"Liam Foudy","116","55"
"2020-03-01","Erie Otters","London Knights","1","16:44","5","5","0","0","London Knights","Liam Foudy","Play","116","55","Indirect",,,,"Jason Willms","126","84"
"2020-03-01","Erie Otters","London Knights","1","16:43","5","5","0","0","Erie Otters","Brendan Hoffmann","Zone Entry","126","84","Carried",,,,"Kurtis Henry",,
"2020-03-01","Erie Otters","London Knights","1","16:41","5","5","0","0","London Knights","Jason Willms","Play","147","63","Indirect",,,,"Alec Regula","146","67"
"2020-03-01","Erie Otters","London Knights","1","16:37","5","5","0","0","London Knights","Alec Regula","Play","168","81","Indirect",,,,"Jason Willms","200","43"
"2020-03-01","Erie Otters","London Knights","1","16:34","5","5","0","0","Erie Otters","Brendan Hoffmann","Puck Recovery","2","49",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","16:33","5","5","0","0","Erie Otters","Jacob Golden","Puck Recovery","4","55",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","16:32","5","5","0","0","Erie Otters","Jacob Golden","Play","4","55","Indirect",,,,"Brendan Sellan","28","82"
"2020-03-01","Erie Otters","London Knights","1","16:30","5","5","0","0","Erie Otters","Brendan Sellan","Incomplete Play","28","82","Indirect",,,,"Maxim Golod","71","74"
"2020-03-01","Erie Otters","London Knights","1","16:29","5","5","0","0","London Knights","Billy Moskal","Takeaway","147","6",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","16:29","5","5","0","0","London Knights","Billy Moskal","Play","142","19","Direct",,,,"Alec Regula","134","42"
"2020-03-01","Erie Otters","London Knights","1","16:27","5","5","0","0","London Knights","Alec Regula","Shot","146","46","Slapshot","On Net","t","f",,,
"2020-03-01","Erie Otters","London Knights","1","16:25","5","5","0","0","Erie Otters","Chad Yetman","Faceoff Win","31","20","Backhand",,,,"Jamie Drysdale",,
"2020-03-01","Erie Otters","London Knights","1","16:24","5","5","0","0","Erie Otters","Jamie Drysdale","Puck Recovery","7","36",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","16:21","5","5","0","0","Erie Otters","Jamie Drysdale","Play","3","46","Direct",,,,"Kyen Sopa","57","83"
"2020-03-01","Erie Otters","London Knights","1","16:19","5","5","0","0","Erie Otters","Kyen Sopa","Play","70","80","Direct",,,,"Chad Yetman","86","51"
"2020-03-01","Erie Otters","London Knights","1","16:17","5","5","0","0","Erie Otters","Chad Yetman","Play","123","38","Direct",,,,"Maxim Golod","133","9"
"2020-03-01","Erie Otters","London Knights","1","16:17","5","5","0","0","London Knights","Maxim Golod","Zone Entry","125","27","Played",,,,"Kirill Steklov",,
"2020-03-01","Erie Otters","London Knights","1","16:16","5","5","0","0","Erie Otters","Maxim Golod","Goal","162","22","Slapshot","On Net","f","f",,,
"2020-03-01","Erie Otters","London Knights","1","16:15","5","5","1","0","London Knights","Connor McMichael","Faceoff Win","100","43","Forehand",,,,"Johnny Gruden",,
"2020-03-01","Erie Otters","London Knights","1","16:12","5","5","1","0","London Knights","Johnny Gruden","Puck Recovery","97","78",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","16:12","5","5","1","0","London Knights","Johnny Gruden","Play","97","78","Direct",,,,"Ryan Merkley","58","76"
"2020-03-01","Erie Otters","London Knights","1","16:05","5","5","1","0","London Knights","Ryan Merkley","Dump In/Out","115","55","Lost",,,,,,
"2020-03-01","Erie Otters","London Knights","1","16:05","5","5","1","0","Erie Otters","Jamie Drysdale","Zone Entry","115","55","Dumped",,,,"Jamie Drysdale",,
"2020-03-01","Erie Otters","London Knights","1","16:01","5","5","1","0","Erie Otters","Jamie Drysdale","Puck Recovery","11","66",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","15:55","5","5","1","0","Erie Otters","Jamie Drysdale","Play","88","58","Direct",,,,"Maxim Golod","112","75"
"2020-03-01","Erie Otters","London Knights","1","15:54","5","5","1","0","London Knights","Kirill Steklov","Zone Entry","125","80","Carried",,,,"Kirill Steklov",,
"2020-03-01","Erie Otters","London Knights","1","15:51","5","5","1","0","Erie Otters","Maxim Golod","Incomplete Play","169","79","Direct",,,,"Chad Yetman","178","65"
"2020-03-01","Erie Otters","London Knights","1","15:49","5","5","1","0","London Knights","Kirill Steklov","Puck Recovery","18","12",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","15:47","5","5","1","0","London Knights","Kirill Steklov","Play","8","24","Indirect",,,,"Matvey Guskov","5","23"
"2020-03-01","Erie Otters","London Knights","1","15:45","5","5","1","0","London Knights","Matvey Guskov","Incomplete Play","12","10","Direct",,,,"Connor McMichael","74","12"
"2020-03-01","Erie Otters","London Knights","1","15:44","5","5","1","0","Erie Otters","Jamie Drysdale","Takeaway","141","64",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","15:40","5","5","1","0","Erie Otters","Jamie Drysdale","Play","141","7","Direct",,,,"Jack Duff","131","57"
"2020-03-01","Erie Otters","London Knights","1","15:39","5","5","1","0","Erie Otters","Jack Duff","Shot","131","57","Slapshot","Blocked","t","t",,,
"2020-03-01","Erie Otters","London Knights","1","15:37","5","5","1","0","Erie Otters","Jack Duff","Puck Recovery","53","64",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","15:33","5","5","1","0","Erie Otters","Jack Duff","Incomplete Play","13","75","Indirect",,,,"Kyen Sopa","64","62"
"2020-03-01","Erie Otters","London Knights","1","15:32","5","5","1","0","London Knights","Matvey Guskov","Takeaway","154","3",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","15:30","5","5","1","0","London Knights","Matvey Guskov","Play","169","30","Direct",,,,"Connor McMichael","183","37"
"2020-03-01","Erie Otters","London Knights","1","15:29","5","5","1","0","London Knights","Connor McMichael","Shot","184","40","Snapshot","On Net","f","f",,,
"2020-03-01","Erie Otters","London Knights","1","15:28","5","5","1","0","Erie Otters","Chad Yetman","Puck Recovery","16","45",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","15:24","5","5","1","0","Erie Otters","Chad Yetman","Play","44","73","Direct",,,,"Maxim Golod","80","71"
"2020-03-01","Erie Otters","London Knights","1","15:23","5","5","1","0","Erie Otters","Maxim Golod","Play","84","58","Direct",,,,"Chad Yetman","106","69"
"2020-03-01","Erie Otters","London Knights","1","15:22","5","5","1","0","London Knights","Luke Evangelista","Zone Entry","125","68","Carried",,,,"Hunter Skinner",,
"2020-03-01","Erie Otters","London Knights","1","15:20","5","5","1","0","London Knights","Luke Evangelista","Puck Recovery","58","18",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","15:19","5","5","1","0","London Knights","Luke Evangelista","Incomplete Play","73","6","Indirect",,,,"Connor McMichael","126","5"
"2020-03-01","Erie Otters","London Knights","1","15:14","5","5","1","0","Erie Otters","Cameron Morton","Puck Recovery","2","18",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","15:14","5","5","1","0","Erie Otters","Cameron Morton","Play","2","18","Direct",,,,"Drew Hunter","6","58"
"2020-03-01","Erie Otters","London Knights","1","15:12","5","5","1","0","Erie Otters","Drew Hunter","Play","15","64","Indirect",,,,"Kyen Sopa","72","79"
"2020-03-01","Erie Otters","London Knights","1","15:09","5","5","1","0","Erie Otters","Kyen Sopa","Dump In/Out","105","73","Lost",,,,,,
"2020-03-01","Erie Otters","London Knights","1","15:09","5","5","1","0","London Knights","Hunter Skinner","Zone Entry","105","73","Dumped",,,,"Hunter Skinner",,
"2020-03-01","Erie Otters","London Knights","1","15:07","5","5","1","0","London Knights","Hunter Skinner","Puck Recovery","3","36",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","15:05","5","5","1","0","London Knights","Benjamin Roger","Puck Recovery","3","49",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","15:04","5","5","1","0","London Knights","Benjamin Roger","Play","3","49","Indirect",,,,"Luke Evangelista","23","80"
"2020-03-01","Erie Otters","London Knights","1","15:02","5","5","1","0","London Knights","Luke Evangelista","Incomplete Play","46","78","Direct",,,,"Max McCue","65","40"
"2020-03-01","Erie Otters","London Knights","1","14:58","5","5","1","0","Erie Otters","Drew Hunter","Puck Recovery","64","74",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","14:57","5","5","1","0","Erie Otters","Drew Hunter","Play","38","52","Direct",,,,"Austen Swankler","74","48"
"2020-03-01","Erie Otters","London Knights","1","14:53","5","5","1","0","London Knights","Elias Cohen","Zone Entry","124","80","Carried",,,,"Hunter Skinner",,
"2020-03-01","Erie Otters","London Knights","1","14:51","5","5","1","0","Erie Otters","Austen Swankler","Play","164","69","Direct",,,,"Elias Cohen","163","58"
"2020-03-01","Erie Otters","London Knights","1","14:49","5","5","1","0","Erie Otters","Elias Cohen","Shot","174","54","Fan","Missed","t","f",,,
"2020-03-01","Erie Otters","London Knights","1","14:48","5","5","1","0","Erie Otters","Austen Swankler","Puck Recovery","198","47",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","14:47","5","5","1","0","Erie Otters","Austen Swankler","Play","194","17","Indirect",,,,"Cameron Morton","129","2"
"2020-03-01","Erie Otters","London Knights","1","14:45","5","5","1","0","Erie Otters","Cameron Morton","Shot","130","18","Wristshot","Missed","t","f",,,
"2020-03-01","Erie Otters","London Knights","1","14:43","5","5","1","0","London Knights","Max McCue","Puck Recovery","51","10",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","14:42","5","5","1","0","London Knights","Max McCue","Play","59","6","Indirect",,,,"Luke Evangelista","81","5"
"2020-03-01","Erie Otters","London Knights","1","14:40","5","5","1","0","London Knights","Luke Evangelista","Dump In/Out","112","5","Lost",,,,,,
"2020-03-01","Erie Otters","London Knights","1","14:40","5","5","1","0","Erie Otters","Daniel Murphy","Zone Entry","112","5","Dumped",,,,"Drew Hunter",,
"2020-03-01","Erie Otters","London Knights","1","14:37","5","5","1","0","Erie Otters","Daniel Murphy","Puck Recovery","1","40",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","14:37","5","5","1","0","Erie Otters","Daniel Murphy","Play","1","40","Indirect",,,,"Cameron Morton","1","40"
"2020-03-01","Erie Otters","London Knights","1","14:36","5","5","1","0","London Knights","Max McCue","Puck Recovery","199","45",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","14:35","5","5","1","0","Erie Otters","Connor Lockhart","Puck Recovery","1","40",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","14:35","5","5","1","0","Erie Otters","Connor Lockhart","Incomplete Play","1","40","Indirect",,,,"Drew Hunter","8","48"
"2020-03-01","Erie Otters","London Knights","1","14:34","5","5","1","0","London Knights","Luke Evangelista","Takeaway","194","37",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","14:32","5","5","1","0","London Knights","Luke Evangelista","Play","191","25","Indirect",,,,"Hunter Skinner","129","4"
"2020-03-01","Erie Otters","London Knights","1","14:30","5","5","1","0","London Knights","Hunter Skinner","Shot","135","8","Wristshot","Missed","t","f",,,
"2020-03-01","Erie Otters","London Knights","1","14:27","5","5","1","0","Erie Otters","Austen Swankler","Puck Recovery","29","1",,,,,,,
"2020-03-01","Erie Otters","London Knights","1","14:26","5","5","1","0","Erie Otters","Austen Swankler","Play","19","3","Direct",,,,"Connor Lockhart","47","6"
